subject_id,split
1,train
10,train
1000,train
10000,train
10001,test
10002,train
10003,train
10004,val
10005,train
10006,test
10007,test
10008,train
10009,train
10010,val
10011,train
10012,train
10013,train
10014,train
10015,val
10016,train
10017,train
10018,train
10019,train
1002,val
10020,train
10021,train
10022,train
10023,train
10024,train
10025,test
10026,train
10027,test
10028,train
10029,train
1003,train
10030,train
10031,train
10032,train
10033,train
10034,train
10035,train
10036,train
10037,train
10038,train
10039,val
10040,train
10041,train
10042,train
10043,train
10044,train
10045,train
10046,train
10047,test
10048,train
10049,train
1005,train
10050,train
10051,train
10052,train
10053,val
10054,test
10055,train
10056,train
10057,train
10058,train
10059,test
10060,train
10061,train
10062,test
10063,val
10064,train
10065,val
10066,test
10067,train
10068,test
10069,train
1007,train
10070,train
10071,train
10072,train
10073,train
10074,val
10075,test
10076,train
10077,test
10078,train
10079,val
1008,train
10080,val
10081,train
10082,train
10083,train
10084,train
10085,train
10086,train
10087,train
10088,test
10089,val
10090,test
10091,train
10092,train
10093,train
10094,train
10095,train
10096,train
10097,test
10098,train
10099,train
101,val
10100,train
10101,test
10102,test
10103,val
10104,train
10105,test
10106,train
10107,train
10108,test
10109,test
1011,train
10110,train
10111,train
10112,test
10113,val
10114,train
10115,train
10116,train
10117,train
10118,train
10119,train
1012,train
10120,train
10121,train
10122,train
10123,train
10124,val
10125,train
10126,train
10127,train
10128,train
10129,train
10130,train
10131,train
10132,test
10133,train
10134,train
10135,train
10136,val
10137,train
10138,test
10139,test
1014,train
10140,train
10141,test
10142,train
10143,train
10144,train
10145,train
10146,train
10147,train
10148,train
10149,train
1015,train
10150,train
10151,train
10152,test
10153,test
10154,test
10155,test
10156,train
10157,test
10158,val
10159,val
1016,train
10160,train
10161,val
10162,train
10163,train
10164,train
10165,train
10166,train
10167,train
10168,train
10169,test
10170,train
10171,train
10172,train
10173,train
10174,train
10175,train
10176,val
10177,train
1019,train
102,train
1020,train
1021,val
1022,train
1023,train
1024,train
1025,train
1028,train
1029,val
103,train
1030,train
1031,train
1033,train
1034,train
1035,train
1038,train
1039,train
1040,train
1041,train
1045,train
1047,train
1048,train
1049,train
105,val
1050,train
1051,train
1052,train
1054,train
1056,train
1057,train
1058,train
1061,train
1062,train
1064,train
1066,train
1067,train
1068,train
1069,train
107,train
1070,train
1073,train
1074,train
1076,train
1077,train
1078,train
1079,train
1080,train
1083,train
1084,train
1086,train
1087,train
1088,train
1091,val
1092,train
1093,train
1094,train
1095,train
1096,train
1097,train
1098,train
1099,val
11,train
110,train
1100,train
1101,train
1102,train
1103,train
1104,train
1105,train
1106,train
1107,train
1108,train
111,train
1110,train
1111,train
1112,train
1113,train
1114,train
1115,train
1116,train
1118,train
112,train
1121,val
1122,train
1124,train
1125,train
1126,train
1127,train
1128,train
1129,train
113,train
1130,train
1131,train
1132,train
1134,train
1135,train
1137,train
1138,train
1139,train
1141,train
1142,train
1143,train
1145,train
1146,train
1147,val
1148,train
1149,train
115,train
1150,train
1152,train
1153,train
1155,train
1156,train
1158,train
1159,train
116,val
1160,train
1161,train
1163,val
1165,train
1166,train
1167,train
1168,train
1169,train
117,train
1170,train
1171,train
1172,train
1173,train
1174,train
1175,train
1176,train
1177,train
1178,train
1179,train
118,train
1180,train
1181,train
1182,train
1183,train
1186,train
1187,train
1189,train
119,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,train
1197,train
12,train
1200,train
1202,train
1204,train
1206,train
1207,val
1208,train
1209,train
121,train
1213,train
1214,train
1215,train
1216,train
1217,train
1218,train
1219,train
122,train
1220,train
1221,train
1222,train
1223,train
1224,train
1225,train
1226,train
1227,val
1228,train
123,train
1231,train
1232,val
1233,train
1234,train
1236,train
1237,train
1238,train
1239,train
124,val
1241,train
1242,val
1244,train
1245,val
1246,val
1247,train
1248,train
1250,train
1253,train
1255,train
1256,train
1258,train
1259,train
126,val
1260,train
1261,train
1262,train
1263,train
1264,train
1265,train
1266,train
1267,train
1269,train
127,train
1270,train
1271,train
1272,train
1273,val
1274,train
1275,train
1276,train
1277,train
1278,train
1279,train
128,train
1281,train
1283,train
1284,val
1285,val
1286,train
1287,train
1288,train
1289,train
129,train
1290,train
1292,train
1294,train
1295,train
1296,train
1297,train
1299,train
13,train
130,train
1300,train
1301,train
1303,train
1304,train
1305,train
1307,train
1309,train
131,train
1310,train
1311,val
1312,train
1313,train
1315,train
1316,train
1317,train
1318,train
1319,train
132,train
1322,train
1326,train
1327,train
1328,train
133,train
1330,train
1331,train
1332,val
1333,train
1334,train
1335,train
1336,val
1337,val
1338,train
1339,val
134,train
1340,train
1341,train
1343,train
1344,train
1345,train
1347,train
1348,train
1349,train
135,val
1351,train
1352,train
1354,train
1356,train
1357,val
1358,train
1359,train
136,train
1360,train
1361,val
1362,train
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
137,val
1370,train
1371,train
1372,train
1373,train
1374,train
1375,train
1377,train
1378,train
1379,train
138,train
1380,train
1381,train
1382,train
1383,train
1384,train
1385,train
1387,train
1388,train
1389,train
139,val
1390,val
1391,train
1392,train
1393,train
1394,train
1396,train
1397,train
1398,train
14,train
1400,train
1401,train
1402,val
1404,train
1405,train
1407,train
1408,train
1409,train
141,train
1410,train
1412,train
1413,train
1414,val
1416,train
1417,train
1418,train
1419,train
142,train
1420,train
1421,train
1422,val
1423,train
1424,train
1425,train
1426,train
1427,train
1429,train
143,train
1431,train
1432,val
1433,train
1434,train
1435,val
1436,train
1437,train
1438,train
1439,train
144,train
1441,train
1442,train
1443,train
1445,train
1446,train
1447,train
1448,train
1449,train
145,train
1450,val
1451,val
1452,train
1453,train
1454,train
1456,train
1457,train
1458,train
1459,train
146,train
1463,train
1465,train
1466,train
1467,train
147,train
1470,train
1471,train
1472,train
1473,train
1474,val
1475,train
1476,train
1477,train
1478,train
1479,val
1480,train
1481,val
1482,train
1483,train
1484,train
1486,train
1487,train
1488,train
1489,train
149,train
1490,val
1491,train
1492,train
1493,train
1495,val
1496,train
1499,train
15,train
150,train
1500,train
1501,val
1502,val
1503,train
1504,train
1505,train
1507,train
1508,train
1509,train
151,train
1510,train
1511,train
1512,train
1513,train
1514,train
1515,train
1516,train
1517,train
1518,train
152,train
1521,train
1522,train
1523,train
1524,train
1525,val
1526,val
1527,train
1528,train
153,train
1530,val
1531,train
1533,train
1534,train
1535,train
1537,train
1538,train
1539,train
154,train
1540,val
1541,train
1543,train
1545,train
1546,train
1548,train
1549,train
155,train
1550,train
1551,train
1552,train
1553,train
1554,train
1555,train
1556,train
1557,train
1559,train
156,train
1560,train
1561,train
1563,train
1564,train
1565,train
1566,train
1567,train
1568,train
157,train
1570,train
1571,train
1573,val
1574,val
1575,train
1576,train
1577,train
1578,train
1579,train
1580,train
1581,train
1583,train
1584,val
1585,train
1586,train
1589,train
159,train
1591,train
1592,train
1593,val
1594,train
1595,train
1596,train
1598,train
1599,val
16,train
160,train
1601,train
1602,train
1603,train
1604,train
1605,train
1606,val
1607,train
1608,train
1609,val
161,train
1610,train
1611,train
1612,train
1613,train
1614,train
1616,train
1617,train
1618,train
1619,train
1620,train
1622,train
1623,train
1624,val
1626,train
1628,train
1629,train
163,train
1630,train
1632,train
1633,train
1634,train
1636,train
1638,train
1639,train
164,train
1640,train
1643,train
1644,train
1646,train
1647,val
1648,train
1649,train
165,train
1650,train
1652,train
1654,train
1655,train
1656,train
1657,train
1659,train
166,train
1660,train
1661,train
1662,train
1663,train
1665,train
1666,train
1667,train
1668,train
1669,train
167,train
1670,train
1671,train
1672,train
1674,train
1676,val
1678,train
1679,train
168,train
1680,train
1681,train
1682,train
1683,train
1684,train
1685,val
1686,train
1687,val
1688,train
169,train
1690,val
1691,train
1692,train
1693,train
